Body Angle,Head Angle,Distance,Signal Strength
40,20,0,3248
141,20,0,3237
142,20,0,3242
143,20,0,3236
136,20,0,3260
137,20,0,3251
138,20,0,3257
139,20,0,3247
140,20,0,3248
141,20,0,3237
142,20,0,3242
143,20,0,3236
144,20,150,256
93,0,0,3255
94,0,0,3256
95,0,0,3262
96,0,0,3259
97,0,0,3249
98,0,0,3251
99,0,0,3251
100,0,0,3255
101,0,0,3260
102,0,0,3266
103,0,0,3257
104,0,0,3252
105,0,0,3261
106,0,0,3258
107,0,0,3260
108,0,0,3252
109,0,0,3252
110,0,0,3258
111,0,0,3252
112,0,0,3254
113,0,0,3255
114,0,0,3246
115,0,0,3263
116,0,0,3252
117,0,0,3254
118,0,0,3257
119,0,0,3239
120,0,0,3253
121,0,0,3255
122,0,0,3257
123,0,0,3247
124,0,0,3248
125,0,0,3253
126,0,0,3250
127,0,0,3233
128,0,0,3246
129,0,0,3238
130,0,0,3241
131,0,0,3260
132,0,0,3251
133,0,0,3254
134,0,0,3246
135,0,0,3250
136,0,0,3241
137,0,0,3246
138,0,0,3248
139,0,0,3242
140,0,0,3244
141,0,0,3240
142,0,0,3245
143,0,0,3249
144,0,0,3250
145,0,0,3245
146,0,0,3244
147,0,0,3241
148,0,0,3236
149,0,0,3244
150,0,0,3247
151,0,0,3243
152,0,0,3254
153,0,0,3254
154,0,0,3267
155,0,0,3243
156,0,0,3262
157,0,0,3254
158,0,0,3260
159,0,0,3262
160,0,0,3260
161,0,0,3258
162,0,0,3262
163,0,0,3254
164,0,0,3259
165,0,0,3263
166,0,0,3259
167,0,0,3262
168,0,0,3259
169,0,0,3256
170,0,0,3260
171,0,0,3263
172,0,0,3267
173,0,0,3269
174,0,0,3266
175,0,0,3268
176,0,0,3261
177,0,0,3248
178,0,0,3256
179,0,0,3260
180,0,0,3266
180,10,0,3266
179,10,0,3253
178,10,0,3262
177,10,0,3261
176,10,0,3265
175,10,0,3257
174,10,0,3254
173,10,0,3275
172,10,0,3264
171,10,0,3266
170,10,0,3265
169,10,0,3261
168,10,0,3257
167,10,0,3259
166,10,0,3267
165,10,0,3262
164,10,0,3279
163,10,0,3272
162,10,0,3266
161,10,0,3266
160,10,0,3261
159,10,0,3270
158,10,0,3268
157,10,0,3270
156,10,0,3268
155,10,0,3279
154,10,0,3262
153,10,0,3269
152,10,0,3270
151,10,0,3273
150,10,0,3269
149,10,0,3272
148,10,0,3265
147,10,0,3267
146,10,0,3266
145,10,0,3281
144,10,0,3256
143,10,0,3259
142,10,0,3262
141,10,0,3261
140,10,0,3265
139,10,0,3252
138,10,0,3257
137,10,0,3259
136,10,0,3266
135,10,0,3263
134,10,0,3259
133,10,0,3263
132,10,0,3265
131,10,0,3264
130,10,0,3261
129,10,0,3267
128,10,0,3260
127,10,0,3259
126,10,0,3272
125,10,0,3271
124,10,0,3261
123,10,0,3250
122,10,0,3258
121,10,0,3263
120,10,0,3273
119,10,0,3268
118,10,0,3250
117,10,0,3258
116,10,0,3262
115,10,0,3259
114,10,0,3262
113,10,0,3271
112,10,0,3260
111,10,0,3264
110,10,0,3263
109,10,0,3268
108,10,0,3265
107,10,0,3262
106,10,0,3271
105,10,0,3262
104,10,0,3263
103,10,0,3257
102,10,0,3267
101,10,0,3258
100,10,0,3255
99,10,0,3265
98,10,0,3262
97,10,0,3266
96,10,0,3272
95,10,0,3261
94,10,0,3261
93,10,0,3261
92,10,0,3267
91,10,0,3263
90,10,0,3265
89,10,0,3269
88,10,0,3261
87,10,0,3267
86,10,0,3273
85,10,0,3267
84,10,0,3255
83,10,0,3260
82,10,0,3266
81,10,0,3264
80,10,0,3266
79,10,0,3268
78,10,0,3267
77,10,0,3263
76,10,0,3267
75,10,0,3269
74,10,0,3272
73,10,0,3278
72,10,0,3268
71,10,0,3272
70,10,0,3276
69,10,0,3275
68,10,0,3272
67,10,0,3276
66,10,0,3272
65,10,0,3264
64,10,0,3260
63,10,0,3268
62,10,0,3266
61,10,0,3270
60,10,0,3263
59,10,0,3267
58,10,0,3266
57,10,0,3281
56,10,0,3270
55,10,0,3262
54,10,0,3269
53,10,0,3263
52,10,0,3270
51,10,0,3267
50,10,0,3259
49,10,0,3264
48,10,0,3263
47,10,0,3265
46,10,0,3264
45,10,0,3271
44,10,0,3256
43,10,0,3269
42,10,0,3266
41,10,0,3257
40,10,0,3262
39,10,0,3266
38,10,0,3271
37,10,0,3271
36,10,0,3276
35,10,0,3275
34,10,0,3266
33,10,0,3272
32,10,0,3281
31,10,0,3270
30,10,0,3255
29,10,0,3270
28,10,0,3268
27,10,0,3260
26,10,0,3267
25,10,0,3260
24,10,0,3271
23,10,0,3265
22,10,0,3260
21,10,0,3262
20,10,0,3255
19,10,0,3252
18,10,0,3263
17,10,0,3268
16,10,0,3258
15,10,0,3250
14,10,0,3254
13,10,0,3256
12,10,0,3256
11,10,0,3269
10,10,0,3263
9,10,0,3252
8,10,0,3262
7,10,0,3261
6,10,0,3253
5,10,0,3248
4,10,0,3252
3,10,0,3258
2,10,0,3261
1,10,0,3262
0,10,0,3261
0,20,0,3260
1,20,0,3258
2,20,0,3264
3,20,0,3253
4,20,0,3257
5,20,0,3271
6,20,0,3263
7,20,0,3258
8,20,0,3266
9,20,0,3258
10,20,0,3259
11,20,0,3277
12,20,0,3254
13,20,0,3257
14,20,0,3247
15,20,0,3263
16,20,0,3270
17,20,0,3253
18,20,0,3263
19,20,0,3263
20,20,0,3254
21,20,0,3248
22,20,0,3258
23,20,0,3262
24,20,0,3248
25,20,0,3252
26,20,0,3258
27,20,0,3260
28,20,0,3250
29,20,0,3260
30,20,0,3263
31,20,0,3259
32,20,0,3260
33,20,0,3257
34,20,0,3256
35,20,0,3258
36,20,0,3259
37,20,0,3269
38,20,0,3268
39,20,0,3270
40,20,0,3262
41,20,0,3256
42,20,0,3260
43,20,0,3261
44,20,0,3267
45,20,0,3267
46,20,0,3270
47,20,0,3255
48,20,0,3259
49,20,0,3270
50,20,0,3267
51,20,0,3271
52,20,0,3275
53,20,0,3271
54,20,0,3279
55,20,0,3276
56,20,0,3268
57,20,0,3266
58,20,0,3266
59,20,0,3259
60,20,0,3266
61,20,0,3267
62,20,0,3269
63,20,0,3264
64,20,0,3264
65,20,0,3280
66,20,0,3263
67,20,0,3265
68,20,0,3272
69,20,0,3266
70,20,0,3260
71,20,0,3269
72,20,0,3277
73,20,0,3258
74,20,0,3279
75,20,0,3268
76,20,0,3260
77,20,0,3259
78,20,0,3266
79,20,0,3263
80,20,0,3262
